llm,function,placeholder,inferred,ground
gpt4,_string_assign,sVar1,new_string_length,newStrLength,0.9478792548179626
gemini,_string_at,param_1,string,str,0.8258129954338074
claud,_string_at,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_at,param_1,stringObjectPtr,str,0.582994818687439
gpt4,_string_at,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_at,param_2,index,index,1.0
claud,_string_at,param_2,index,index,1.0
gpt3,_string_at,param_2,index,index,1.0
gpt4,_string_at,param_2,index,index,1.0
gemini,_string_back,param_1,stringPointer,str,0.5930760502815247
claud,_string_back,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_back,param_1,arrayPtrToLong,str,0.4230104088783264
gpt4,_string_back,param_1,string_info,str,0.7043172717094421
claud,_string_base64_decode,iVar1,shiftAmount,valb,0.3821743130683899
gpt3,_string_base64_decode,iVar1,bitShiftCount,valb,0.38841933012008667
gpt4,_string_base64_decode,iVar1,shift_amount,valb,0.3821743130683899
gemini,_string_base64_decode,local_10,decodedStr,decodedStrObj,0.8546965718269348
claud,_string_base64_decode,local_10,returnValue,decodedStrObj,0.45365801453590393
gpt3,_string_base64_decode,local_10,result,decodedStrObj,0.4836689233779907
gemini,_string_base64_decode,local_24,bitBuffer,val,0.3875398337841034
claud,_string_base64_decode,local_24,bitBuffer,val,0.3875398337841034
gpt3,_string_base64_decode,local_24,currentBits,val,0.4471547603607178
gpt4,_string_base64_decode,local_24,accumulator,val,0.47570955753326416
gemini,_string_base64_decode,local_28,bitCount,valb,0.45495226979255676
claud,_string_base64_decode,local_28,bitsRemaining,valb,0.42215776443481445
gpt3,_string_base64_decode,local_28,remainingBits,valb,0.400812029838562
gpt4,_string_base64_decode,local_28,bit_counter,valb,0.4083883762359619
gemini,_string_base64_decode,local_30,charIndex,i,0.6618396639823914
claud,_string_base64_decode,local_30,index,i,0.7403911352157593
gpt3,_string_base64_decode,local_30,encodedStrIndex,i,0.5961968898773193
gpt4,_string_base64_decode,local_30,encoded_index,i,0.6510858535766602
gemini,_string_base64_decode,local_38,decodedLen,j,0.3485185503959656
claud,_string_base64_decode,local_38,decodedStrLength,j,0.3507236838340759
gpt3,_string_base64_decode,local_38,decodedStrIndex,j,0.4529910981655121
gpt4,_string_base64_decode,local_38,decoded_position,j,0.3719041347503662
gemini,_string_base64_decode,local_39,currentChar,c,0.5009008646011353
claud,_string_base64_decode,local_39,currentChar,c,0.5009008646011353
gpt3,_string_base64_decode,local_39,currentChar,c,0.5009008646011353
gpt4,_string_base64_decode,local_39,current_char,c,0.5009008646011353
gemini,_string_base64_decode,param_1,encodedStr,encodedStr,1.0000001192092896
claud,_string_base64_decode,param_1,encodedStrPtr,encodedStr,0.8572395443916321
gpt3,_string_base64_decode,param_1,encodedStrPtr,encodedStr,0.8572395443916321
gpt4,_string_base64_decode,param_1,encoded_string_info,encodedStr,0.8406838774681091
gemini,_string_base64_decode,pvVar2,decodedData,decodedStr,0.8180995583534241
claud,_string_base64_decode,pvVar2,decodedStrBuffer,decodedStr,0.8333719968795776
gpt3,_string_base64_decode,pvVar2,decodedStrPtr,decodedStr,0.8473272919654846
gpt4,_string_base64_decode,pvVar2,decoded_buffer,decodedStr,0.7635089159011841
gemini,_string_base64_encode,local_10,encodedString,encoded,0.8975279927253723
claud,_string_base64_encode,local_10,encodedString,encoded,0.8975279927253723
gpt3,_string_base64_encode,local_10,encodedString,encoded,0.8975279927253723
gemini,_string_base64_encode,local_24,currentByte,val,0.43238434195518494
claud,_string_base64_encode,local_24,accumulator,val,0.47570955753326416
gpt3,_string_base64_encode,local_24,tempValue,val,0.6167721152305603
gpt4,_string_base64_encode,local_24,bit_accumulator,val,0.4158410429954529
gemini,_string_base64_encode,local_28,currentBits,valb,0.44604551792144775
claud,_string_base64_encode,local_28,bitsRemaining,valb,0.42215776443481445
gpt3,_string_base64_encode,local_28,bitShiftCounter,valb,0.363771915435791
gpt4,_string_base64_encode,local_28,bit_index,valb,0.47784531116485596
claud,_string_base64_encode,local_30,charIndex,i,0.6618396639823914
gpt3,_string_base64_encode,local_30,indexCounter,i,0.6527861952781677
gpt4,_string_base64_encode,local_30,input_index,i,0.6503474712371826
gemini,_string_base64_encode,param_1,stringToEncode,input,0.47834962606430054
claud,_string_base64_encode,param_1,stringPtr,input,0.3330923020839691
gpt3,_string_base64_encode,param_1,inputPointer,input,0.7018293142318726
gpt4,_string_base64_encode,param_1,input_string_ptr,input,0.5832723379135132
claud,_string_begin,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_begin,param_1,inputPointer,str,0.44206467270851135
gpt4,_string_begin,param_1,string_ptr,str,0.7024031281471252
gemini,_string_c_str,param_1,inputString,str,0.6509467959403992
claud,_string_c_str,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_c_str,param_1,inputPtr,str,0.5496656894683838
gpt4,_string_c_str,param_1,string_ptr_ptr,str,0.5694236159324646
gemini,_string_capacity,param_1,stringObject,str,0.6900297999382019
claud,_string_capacity,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_capacity,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_capacity,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_cbegin,param_1,stringPtr,str,0.7024031281471252
claud,_string_cbegin,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_cbegin,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_cbegin,param_1,string_ptr,str,0.7024031281471252
gemini,_string_cend,param_1,stringPtr,str,0.7024031281471252
claud,_string_cend,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_cend,param_1,inputPtr,str,0.5496656894683838
gpt4,_string_cend,param_1,string_data,str,0.6636395454406738
gemini,_string_clear,param_1,stringObject,str,0.6900297999382019
claud,_string_clear,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_clear,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_clear,param_1,string_struct_ptr,str,0.5312382578849792
gemini,_string_compare,param_1,string1,str1,0.8739966154098511
claud,_string_compare,param_1,str1Ptr,str1,0.8208478689193726
gpt3,_string_compare,param_1,string1Ptr,str1,0.7162275910377502
gpt4,_string_compare,param_1,first_string_ptr,str1,0.6837325096130371
gemini,_string_compare,param_2,string2,str2,0.8816872835159302
claud,_string_compare,param_2,str2Ptr,str2,0.8194434642791748
gpt3,_string_compare,param_2,string2Ptr,str2,0.7326732277870178
gpt4,_string_compare,param_2,second_string_ptr,str2,0.6441832780838013
gemini,_string_compare_ignore_case,param_1,string1,str1,0.8739966154098511
claud,_string_compare_ignore_case,param_1,str1Ptr,str1,0.8208478689193726
gpt3,_string_compare_ignore_case,param_1,firstStringPointer,str1,0.580035924911499
gpt4,_string_compare_ignore_case,param_1,string_ptr1,str1,0.7207517027854919
gemini,_string_compare_ignore_case,param_2,string2,str2,0.8816872835159302
claud,_string_compare_ignore_case,param_2,str2Ptr,str2,0.8194434642791748
gpt3,_string_compare_ignore_case,param_2,secondStringPointer,str2,0.5855967402458191
gpt4,_string_compare_ignore_case,param_2,string_ptr2,str2,0.692017674446106
gemini,_string_concatenate,param_1,stringObject1,str1,0.722955584526062
claud,_string_concatenate,param_1,str1Ptr,str1,0.8208478689193726
gpt3,_string_concatenate,param_1,string1Ptr,str1,0.7162275910377502
gpt4,_string_concatenate,param_1,str1_ptr,str1,0.7704582810401917
gemini,_string_concatenate,param_2,stringObject2,str2,0.7121602296829224
claud,_string_concatenate,param_2,str2Ptr,str2,0.8194434642791748
gpt3,_string_concatenate,param_2,string2Ptr,str2,0.7326732277870178
gemini,_string_contains,param_1,stringPtr,str,0.7024031281471252
claud,_string_contains,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_contains,param_1,stringArray,str,0.675433874130249
gpt4,_string_contains,param_1,main_string_ptr,str,0.596035897731781
gemini,_string_contains,param_2,substringPtr,substr,0.6747453212738037
claud,_string_contains,param_2,substring,substr,0.898354172706604
gpt3,_string_contains,param_2,substring,substr,0.898354172706604
gpt4,_string_contains,param_2,substring,substr,0.898354172706604
gemini,_string_copy,local_10,copiedLen,copyLen,0.9051426649093628
claud,_string_copy,local_10,bytesCopied,copyLen,0.70259028673172
gpt3,_string_copy,local_10,result,copyLen,0.34461507201194763
gemini,_string_copy,local_38,actualCopyLen,copyLen,0.9025123119354248
claud,_string_copy,local_38,actualCopyLength,copyLen,0.8211424946784973
gpt3,_string_copy,local_38,copyLength,copyLen,0.907618522644043
gpt4,_string_copy,local_38,num_chars_copied,copyLen,0.716645359992981
gemini,_string_copy,param_1,srcString,str,0.6159257292747498
claud,_string_copy,param_1,stringObj,str,0.6848109364509583
gpt3,_string_copy,param_1,sourceArrayPtr,str,0.42502841353416443
gpt4,_string_copy,param_1,source_string_info,str,0.562479555606842
gemini,_string_copy,param_2,destBuffer,buffer,0.7712783813476562
claud,_string_copy,param_2,destBuffer,buffer,0.7712783813476562
gpt3,_string_copy,param_2,destBufferPtr,buffer,0.6585269570350647
gpt4,_string_copy,param_2,destination_buffer,buffer,0.6645630598068237
gemini,_string_copy,param_3,startPos,pos,0.7898558378219604
claud,_string_copy,param_3,startPos,pos,0.7898558378219604
gpt3,_string_copy,param_3,startIndex,pos,0.7221594452857971
gpt4,_string_copy,param_3,copy_start_index,pos,0.6716095209121704
gemini,_string_copy,param_4,copyLen,len,0.7639533281326294
claud,_string_copy,param_4,copyLength,len,0.7536835670471191
gpt3,_string_copy,param_4,maxLength,len,0.7629084587097168
gpt4,_string_copy,param_4,max_chars_to_copy,len,0.664991021156311
gemini,_string_count,local_10,result,count,0.5463604927062988
claud,_string_count,local_10,returnValue,count,0.47049760818481445
gpt3,_string_count,local_10,result,count,0.5463604927062988
gemini,_string_count,local_28,occurrenceCount,count,0.699760913848877
claud,_string_count,local_28,count,count,1.0
gpt3,_string_count,local_28,count,count,1.0
gpt4,_string_count,local_28,substring_count,count,0.6847219467163086
gemini,_string_count,local_30,currentPosition,found,0.41163384914398193
claud,_string_count,local_30,currentPosition,found,0.41163384914398193
gpt3,_string_count,local_30,currentPosition,found,0.41163384914398193
gpt4,_string_count,local_30,current_position,found,0.41163384914398193
gemini,_string_count,param_1,stringObject,str,0.6900297999382019
claud,_string_count,param_1,stringArray,str,0.675433874130249
gpt3,_string_count,param_1,stringArray,str,0.675433874130249
gpt4,_string_count,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_count,param_2,substring,substr,0.898354172706604
claud,_string_count,param_2,substring,substr,0.898354172706604
gpt3,_string_count,param_2,substring,substr,0.898354172706604
gpt4,_string_count,param_2,substring,substr,0.898354172706604
gemini,_string_crbegin,param_1,stringPtr,str,0.7024031281471252
claud,_string_crbegin,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_crbegin,param_1,inputPointer,str,0.44206467270851135
gpt4,_string_crbegin,param_1,string_struct_ptr,str,0.5312382578849792
gemini,_string_create,local_30,strLen,initialSize,0.5096516013145447
claud,_string_create,local_30,inputLength,initialSize,0.6383592486381531
gpt3,_string_create,local_30,length,initialSize,0.6138663291931152
gpt4,_string_create,local_30,input_length,initialSize,0.6383592486381531
claud,_string_create,param_1,inputStr,initialStr,0.671078085899353
gpt3,_string_create,param_1,inputString,initialStr,0.5843905806541443
gpt4,_string_create,param_1,input_string,initialStr,0.5843905806541443
gemini,_string_create,plVar1,strObject,str,0.7892600893974304
claud,_string_create,plVar1,stringPtr,str,0.7024031281471252
gpt3,_string_create,plVar1,stringObject,str,0.6900297999382019
gpt4,_string_create,plVar1,string_object,str,0.6900297999382019
gemini,_string_create_from_initializer,local_30,result,strings,0.4399510324001312
claud,_string_create_from_initializer,local_30,result,strings,0.4399510324001312
gpt3,_string_create_from_initializer,local_30,resultString,strings,0.5660004615783691
gpt4,_string_create_from_initializer,local_30,result_string_array,strings,0.5967303514480591
gemini,_string_create_from_initializer,local_38,stringCountCopy,count,0.6202842593193054
claud,_string_create_from_initializer,local_38,numElements,count,0.6376282572746277
gpt3,_string_create_from_initializer,local_38,maxCount,count,0.7622291445732117
gpt4,_string_create_from_initializer,local_38,element_count,count,0.7356586456298828
gemini,_string_create_from_initializer,local_40,stringsArray,strings,0.8981538414955139
claud,_string_create_from_initializer,local_40,stringArray,strings,0.7933555245399475
gpt3,_string_create_from_initializer,local_40,stringsArray,strings,0.8981538414955139
gpt4,_string_create_from_initializer,local_40,string_array,strings,0.7933555245399475
gemini,_string_create_from_initializer,local_48,processedCount,i,0.49517491459846497
claud,_string_create_from_initializer,local_48,i,i,0.9999999403953552
gpt3,_string_create_from_initializer,local_48,currentIndex,i,0.6276837587356567
gpt4,_string_create_from_initializer,local_48,string_array_index,i,0.5467773675918579
gemini,_string_create_from_initializer,local_50,currentString,str,0.6525178551673889
claud,_string_create_from_initializer,local_50,currentElement,str,0.43025174736976624
gpt3,_string_create_from_initializer,local_50,currentString,str,0.6525178551673889
gpt4,_string_create_from_initializer,local_50,current_string_value,str,0.5740235447883606
gemini,_string_create_from_initializer,local_58,index,j,0.5871275663375854
claud,_string_create_from_initializer,local_58,i,j,0.6908798813819885
gpt3,_string_create_from_initializer,local_58,loopCounter,j,0.36006981134414673
gpt4,_string_create_from_initializer,local_58,deallocate_index,j,0.42058059573173523
gemini,_string_create_from_initializer,param_1,element1,count,0.39497601985931396
claud,_string_create_from_initializer,param_1,element0,count,0.3769085705280304
gpt3,_string_create_from_initializer,param_1,count,count,1.0
gpt4,_string_create_from_initializer,param_1,initializer_1,count,0.3324868679046631
gemini,_string_create_with_pool,param_1,initParam,1,0.4586326777935028
claud,_string_create_with_pool,param_1,poolSize,1,0.22013157606124878
gpt3,_string_create_with_pool,param_1,memoryPool,1,0.15651722252368927
gpt4,_string_create_with_pool,param_1,init_param,1,0.4586326777935028
gemini,_string_create_with_pool,puVar1,newStringObject,str,0.6319212317466736
claud,_string_create_with_pool,puVar1,stringPtr,str,0.7024031281471252
gpt3,_string_create_with_pool,puVar1,stringPtr,str,0.7024031281471252
gpt4,_string_create_with_pool,puVar1,new_string,str,0.6773952841758728
gemini,_string_crend,param_1,stringPtr,str,0.7024031281471252
claud,_string_crend,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_crend,param_1,inputPointer,str,0.44206467270851135
gpt4,_string_crend,param_1,string_struct,str,0.6114717721939087
gemini,_string_data,param_1,inputStringPointer,str,0.5635685920715332
claud,_string_data,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_data,param_1,pointer,str,0.5094899535179138
gpt4,_string_data,param_1,string_object_pointer,str,0.501876175403595
gemini,_string_deallocate,param_1,stringObject,str,0.6900297999382019
claud,_string_deallocate,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_deallocate,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_deallocate,param_1,string_object,str,0.6900297999382019
gemini,_string_empty,param_1,stringPointer,str,0.5930760502815247
claud,_string_empty,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_empty,param_1,ptrToString,str,0.6203492879867554
gpt4,_string_empty,param_1,string_ptr,str,0.7024031281471252
gemini,_string_end,param_1,stringPtr,str,0.7024031281471252
claud,_string_end,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_end,param_1,inputPointer,str,0.44206467270851135
gpt4,_string_end,param_1,string_data,str,0.6636395454406738
gemini,_string_ends_with,param_1,stringObject,str,0.6900297999382019
claud,_string_ends_with,param_1,stringObj,str,0.6848109364509583
gpt3,_string_ends_with,param_1,stringDataPtr,str,0.6047946214675903
gpt4,_string_ends_with,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_ends_with,param_2,substring,substr,0.898354172706604
claud,_string_ends_with,param_2,substring,substr,0.898354172706604
gpt3,_string_ends_with,param_2,substring,substr,0.898354172706604
gpt4,_string_ends_with,param_2,substring,substr,0.898354172706604
gemini,_string_ends_with,sVar2,substringLength,substrLen,0.889977216720581
claud,_string_ends_with,sVar2,substringLength,substrLen,0.889977216720581
gpt3,_string_ends_with,sVar2,substringLength,substrLen,0.889977216720581
gpt4,_string_ends_with,sVar2,substring_length,substrLen,0.889977216720581
gemini,_string_erase,param_1,stringPtr,str,0.7024031281471252
claud,_string_erase,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_erase,param_1,stringPtr,str,0.7024031281471252
gpt4,_string_erase,param_1,string_object,str,0.6900297999382019
gemini,_string_erase,param_2,position,pos,0.848685622215271
claud,_string_erase,param_2,eraseStartPos,pos,0.693808913230896
gpt3,_string_erase,param_2,startIndex,pos,0.7221594452857971
gpt4,_string_erase,param_2,erase_start_index,pos,0.6443827748298645
gemini,_string_erase,param_3,eraseLength,len,0.6929389238357544
claud,_string_erase,param_3,eraseLength,len,0.6929389238357544
gpt3,_string_erase,param_3,eraseCount,len,0.4342736303806305
gpt4,_string_erase,param_3,num_chars_to_erase,len,0.6336676478385925
gemini,_string_find,param_1,stringObject,str,0.6900297999382019
claud,_string_find,param_1,stringObj,str,0.6848109364509583
gpt3,_string_find,param_1,stringDataPtr,str,0.6047946214675903
gpt4,_string_find,param_1,string_object,str,0.6900297999382019
gemini,_string_find,param_2,substring,buffer,0.5679891705513
claud,_string_find,param_2,searchBuffer,buffer,0.7336841821670532
gpt3,_string_find,param_2,searchText,buffer,0.475876122713089
gpt4,_string_find,param_2,search_buffer,buffer,0.7336841821670532
gemini,_string_find,param_3,startPosition,pos,0.789771318435669
claud,_string_find,param_3,startPosition,pos,0.789771318435669
gpt3,_string_find,param_3,startIndex,pos,0.7221594452857971
gpt4,_string_find,param_3,start_position,pos,0.789771318435669
gemini,_string_find,pcVar1,strstrResult,found,0.4544341564178467
claud,_string_find,pcVar1,foundPtr,found,0.745119035243988
gpt3,_string_find,pcVar1,foundPosition,found,0.6290465593338013
gemini,_string_find_first_not_of,local_38,index,i,0.7403911352157593
claud,_string_find_first_not_of,local_38,currentPos,i,0.5379469394683838
gpt3,_string_find_first_not_of,local_38,currentPos,i,0.5379469394683838
gpt4,_string_find_first_not_of,local_38,current_pos,i,0.5379469394683838
gemini,_string_find_first_not_of,param_1,stringObject,str,0.6900297999382019
claud,_string_find_first_not_of,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_find_first_not_of,param_1,stringObjPtr,str,0.554861307144165
gpt4,_string_find_first_not_of,param_1,string_object_ptr,str,0.582994818687439
gemini,_string_find_first_not_of,param_2,buffer,buffer,0.9999999403953552
claud,_string_find_first_not_of,param_2,substringPtr,buffer,0.5422649383544922
gpt3,_string_find_first_not_of,param_2,targetStr,buffer,0.40575501322746277
gpt4,_string_find_first_not_of,param_2,search_chars,buffer,0.48576679825782776
gemini,_string_find_first_not_of,param_3,pos,pos,1.0
claud,_string_find_first_not_of,param_3,startPos,pos,0.7898558378219604
gpt3,_string_find_first_not_of,param_3,strLen,pos,0.48680439591407776
gpt4,_string_find_first_not_of,param_3,start_pos,pos,0.7898558378219604
claud,_string_find_first_not_of,sVar2,substringLen,bufferLen,0.7281497716903687
gpt3,_string_find_first_not_of,sVar2,targetStrLen,bufferLen,0.6025302410125732
gpt4,_string_find_first_not_of,sVar2,search_chars_length,bufferLen,0.6902754306793213
gemini,_string_find_first_of,param_1,stringObject,str,0.6900297999382019
claud,_string_find_first_of,param_1,stringObj,str,0.6848109364509583
gpt3,_string_find_first_of,param_1,stringDataPtr,str,0.6047946214675903
gpt4,_string_find_first_of,param_1,string_obj_ptr,str,0.554861307144165
gemini,_string_find_first_of,param_2,searchBuffer,buffer,0.7336841821670532
claud,_string_find_first_of,param_2,searchStr,buffer,0.4587700366973877
gpt3,_string_find_first_of,param_2,searchCharPtr,buffer,0.5055956840515137
gpt4,_string_find_first_of,param_2,search_string,buffer,0.4540526568889618
gemini,_string_find_first_of,param_3,startPosition,pos,0.789771318435669
claud,_string_find_first_of,param_3,startPos,pos,0.7898558378219604
gpt3,_string_find_first_of,param_3,searchStartIndex,pos,0.6782163381576538
gpt4,_string_find_first_of,param_3,start_position,pos,0.789771318435669
gemini,_string_find_first_of,pcVar1,foundPosition,found,0.6290465593338013
claud,_string_find_first_of,pcVar1,foundPtr,found,0.745119035243988
gpt3,_string_find_first_of,pcVar1,foundCharPtr,found,0.5870141983032227
gpt4,_string_find_first_of,pcVar1,found_substr_ptr,found,0.5979909300804138
gemini,_string_find_last_not_of,local_34,currentIndex,i,0.6276837587356567
claud,_string_find_last_not_of,local_34,currentPos,i,0.5379469394683838
gpt3,_string_find_last_not_of,local_34,currentIndex,i,0.6276837587356567
gemini,_string_find_last_not_of,param_1,stringObjectAddress,str,0.551685094833374
claud,_string_find_last_not_of,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_find_last_not_of,param_1,stringPointer,str,0.5930760502815247
gpt4,_string_find_last_not_of,param_1,string_data_ptr,str,0.6047946214675903
gemini,_string_find_last_not_of,param_2,searchBuffer,buffer,0.7336841821670532
claud,_string_find_last_not_of,param_2,substringPtr,buffer,0.5422649383544922
gpt3,_string_find_last_not_of,param_2,searchString,buffer,0.4540526568889618
gpt4,_string_find_last_not_of,param_2,search_buffer,buffer,0.7336841821670532
gemini,_string_find_last_not_of,param_3,position,pos,0.848685622215271
claud,_string_find_last_not_of,param_3,startPos,pos,0.7898558378219604
gpt3,_string_find_last_not_of,param_3,position,pos,0.848685622215271
gpt4,_string_find_last_not_of,param_3,start_position,pos,0.789771318435669
claud,_string_find_last_not_of,sVar2,substringLen,bufferLen,0.7281497716903687
gpt3,_string_find_last_not_of,sVar2,searchStringLength,bufferLen,0.6422200202941895
gpt4,_string_find_last_not_of,sVar2,search_buffer_length,bufferLen,0.8034980297088623
gemini,_string_find_last_of,local_2c,lastOccurrencePosition,lastFound,0.7190464735031128
claud,_string_find_last_of,local_2c,lastPos,lastFound,0.7045094966888428
gpt3,_string_find_last_of,local_2c,lastFoundPosition,lastFound,0.7409871816635132
gpt4,_string_find_last_of,local_2c,last_valid_index,lastFound,0.7608054876327515
gemini,_string_find_last_of,local_38,substringOccurrence,currentFound,0.5754548907279968
claud,_string_find_last_of,local_38,lastOccurrence,currentFound,0.6960816979408264
gpt3,_string_find_last_of,local_38,foundPosition,currentFound,0.7186042666435242
gpt4,_string_find_last_of,local_38,current_match_position,currentFound,0.70610511302948
gemini,_string_find_last_of,param_1,stringObject,str,0.6900297999382019
claud,_string_find_last_of,param_1,stringPtr,str,0.7024031281471252
gpt3,_string_find_last_of,param_1,stringArray,str,0.675433874130249
gpt4,_string_find_last_of,param_1,string_handle,str,0.6238265037536621
gemini,_string_find_last_of,param_2,substring,buffer,0.5679891705513
claud,_string_find_last_of,param_2,substring,buffer,0.5679891705513
gpt3,_string_find_last_of,param_2,targetChar,buffer,0.43380284309387207
gpt4,_string_find_last_of,param_2,search_string,buffer,0.4540526568889618
gemini,_string_find_last_of,param_3,maxPosition,pos,0.7322663068771362
claud,_string_find_last_of,param_3,endPos,pos,0.7777684330940247
gpt3,_string_find_last_of,param_3,position,pos,0.848685622215271
gpt4,_string_find_last_of,param_3,position_bound,pos,0.6924152374267578
gemini,_string_format,local_3c,formattedStringLength2,length,0.6665756702423096
claud,_string_format,local_3c,formattedStrLen,length,0.6519635915756226
gpt3,_string_format,local_3c,vsnprintfResult,length,0.3723301887512207
gpt4,_string_format,local_3c,vsnprintf_result,length,0.3723301887512207
gemini,_string_format,local_48,formattedStringBuffer,buffer,0.7647945880889893
claud,_string_format,local_48,formattedStrPtr,buffer,0.5216436386108398
gpt3,_string_format,local_48,allocatedString,buffer,0.6067636609077454
gpt4,_string_format,local_48,formatted_string_buffer,buffer,0.7647945880889893
gemini,_string_format,param_1,stringObject,str,0.6900297999382019
claud,_string_format,param_1,formatArg1,str,0.5067538619041443
gpt3,_string_format,param_1,formatStringAddress,str,0.5475164651870728
gpt4,_string_format,param_1,format_arg1,str,0.5067538619041443
gemini,_string_format,param_2,formatString,format,0.8957688212394714
claud,_string_format,param_2,formatArg2,format,0.7519050240516663
gpt3,_string_format,param_2,formatLength,format,0.7886043787002563
gpt4,_string_format,param_2,format_arg2,format,0.7519050240516663
gemini,_string_from_double,local_38,formattedString,buffer,0.5182151198387146
claud,_string_from_double,local_38,stringBuffer,buffer,0.8590482473373413
gpt3,_string_from_double,local_38,formattedString,buffer,0.5182151198387146
gpt4,_string_from_double,local_38,formatted_string_buffer,buffer,0.7647945880889893
gemini,_string_from_double,param_1,inputValue,value,0.7992318868637085
claud,_string_from_double,param_1,doubleValue,value,0.7756668329238892
gpt3,_string_from_double,param_1,outputString,value,0.45830851793289185
gpt4,_string_from_double,param_1,double_value,value,0.7756668329238892
gemini,_string_from_float,local_38,formattedString,buffer,0.5182151198387146
claud,_string_from_float,local_38,stringBuffer,buffer,0.8590482473373413
gpt3,_string_from_float,local_38,formattedStringBuffer,buffer,0.7647945880889893
gpt4,_string_from_float,local_38,formatted_string_buffer,buffer,0.7647945880889893
gemini,_string_from_float,param_1,inputFloat,value,0.5750016570091248
claud,_string_from_float,param_1,floatValue,value,0.7183685302734375
gpt3,_string_from_float,param_1,float,value,0.6209630966186523
gpt4,_string_from_float,param_1,input_float,value,0.5750016570091248
claud,_string_from_hex,lVar2,charValue,ch,0.5467660427093506
gpt3,_string_from_hex,lVar2,convertedValue,ch,0.38644033670425415
gpt4,_string_from_hex,lVar2,ascii_char,ch,0.5920540690422058
gemini,_string_from_hex,local_20,outputStringId,str,0.5180763006210327
claud,_string_from_hex,local_20,resultString,str,0.6471599340438843
gpt3,_string_from_hex,local_20,hexString,str,0.6425819396972656
gpt4,_string_from_hex,local_20,output_string,str,0.6245332360267639
